filename,genre,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,mfcc14_mean,mfcc14_std,mfcc15_mean,mfcc15_std,mfcc16_mean,mfcc16_std,mfcc17_mean,mfcc17_std,mfcc18_mean,mfcc18_std,mfcc19_mean,mfcc19_std,mfcc20_mean,mfcc20_std,spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_rolloff_std,zero_crossing_rate_mean,zero_crossing_rate_std,chroma_mean,chroma_std,tempo,rms_energy_mean,rms_energy_std,tonnetz_mean,tonnetz_std
pop.00012.au,pop,-50.85386,47.236958,80.22757,25.705774,-9.293903,20.39485,20.294153,12.469533,12.106113,12.503917,6.7842712,10.404472,6.279613,8.867077,3.4291553,8.702564,-3.9568374,8.546565,2.5745726,10.353316,-5.706396,7.5858083,0.4841115,8.036127,-0.5719531,8.069445,-0.58427525,7.741617,-3.394357,7.682389,-6.79263,8.655967,-5.526354,8.359843,-1.6323348,7.253696,-1.6056237,8.193357,-1.5018032,10.461576,2679.2839905691167,761.4806041844988,5533.6998718072755,1657.500294200046,0.12593423471362228,0.057999375041057045,0.38588703,0.29199982,108.76518169387396,0.16416128,0.051409636,0.013583341284133849,0.15314228222252613
pop.00043.au,pop,-50.890957,47.96619,68.04223,32.60899,12.082594,18.941166,36.314426,17.669764,8.646877,14.76096,19.502785,12.01683,10.72235,9.469845,12.312874,8.599315,1.6614351,9.005185,10.164873,8.603513,4.8397875,7.5954165,1.6969053,7.073186,2.7312357,6.908279,3.1664689,7.555005,2.4620578,6.9846964,1.4162687,7.348145,1.0564288,6.505798,1.8941798,6.4107366,2.2652884,7.2669735,2.4275951,7.4187083,2703.2416682609646,1065.1892388797723,5776.106739339445,1883.6254082950918,0.1032971833881579,0.07288589019101249,0.4734457,0.28385314,135.3728656293283,0.25419882,0.07047601,-0.024675502894803546,0.08624998160374729
pop.00084.au,pop,-112.395996,70.89735,59.759735,48.264946,14.483949,30.28754,19.190073,16.226229,15.127423,17.717083,-3.2115033,15.87593,6.109609,14.147208,-6.668194,12.59938,1.463722,12.687444,-1.187687,11.764972,-1.2330449,11.532205,-0.7587417,10.01748,1.8843272,10.26961,-0.69078666,8.744263,-2.2996898,9.071558,-3.4926953,8.646559,-3.891752,8.016236,-3.3886583,8.920117,-2.4311671,9.718836,-2.0892992,9.320379,3262.336283566903,1613.3248762755131,6827.983712116631,2868.488688603094,0.13586614744582043,0.11821614924974304,0.40918562,0.31088188,104.45685824221148,0.17935272,0.097115465,0.01371102914932897,0.0906262922320258
pop.00077.au,pop,-34.209938,70.90945,40.399307,30.60846,17.510662,22.241014,13.42147,16.210026,13.240601,11.786318,7.449265,10.883464,18.183458,11.177122,2.7254276,8.971408,4.3396277,8.489418,5.8252974,10.007193,-1.1257582,8.948469,3.1106064,8.496901,2.4149976,8.150874,-2.0906532,7.9892054,-1.2851562,8.465988,0.15344465,9.101361,2.3362236,10.190578,4.32972,10.1099825,2.137922,10.695821,2.9388883,11.114708,4037.153770826656,1137.7191375888099,8331.4746207128,1382.60336751614,0.21392576613293343,0.11606557221244702,0.4454422,0.3044691,112.34714673913045,0.23102272,0.12739554,-0.0003695779557892501,0.046453788071427186
pop.00026.au,pop,-73.36742,64.52698,97.46428,28.374962,16.87055,23.200817,-0.57903767,16.156267,7.180089,16.342842,4.872417,13.286739,0.7465055,11.831115,-5.5500164,12.637926,0.9903747,10.788674,4.9166174,9.964784,-5.8354435,8.862027,-4.9214163,9.272421,-0.030956399,8.476359,-3.0463636,8.623299,-0.15896785,9.330786,-2.3810003,9.36616,0.72344434,8.952688,0.68285614,8.181054,1.9683635,9.535146,0.80376273,8.915375,2526.130442686517,1004.7266363013686,5554.674744975087,2227.474448725628,0.10354207986648607,0.06235762847890135,0.3350296,0.3009413,144.4108914729785,0.1956684,0.08865435,0.0474033205588256,0.11088112690883632
pop.00036.au,pop,-44.214016,66.93945,76.17581,28.591228,22.921127,22.553186,16.816143,17.189182,22.998915,12.912964,3.266593,15.276002,6.908667,10.578233,0.103138596,8.969621,6.4956775,7.9900813,6.5420895,9.723436,0.85448545,6.746912,2.7243903,6.665083,4.5169544,7.162281,2.854357,7.4030924,1.3195447,6.8548594,1.7970861,7.0922294,0.3768288,8.0882845,-1.1220287,8.761342,-0.43784982,8.678365,1.570019,8.484942,2944.4779985642813,1120.7050995774084,6877.916743511755,2043.1801617109793,0.1151153281008127,0.09077523071222171,0.39457414,0.29917195,99.38401442307692,0.25645226,0.0844243,0.018796055488479783,0.0653970148119563
pop.00067.au,pop,-52.537975,52.113518,37.496025,27.876596,14.12139,21.777367,18.180311,15.007812,16.782768,12.426167,5.9580927,14.026538,6.4324026,11.502769,2.7082067,10.845087,-0.44743854,10.278705,3.2196102,9.958033,-3.9284554,9.892775,1.5937504,9.302772,0.29058224,9.761544,-0.16011742,10.105201,-0.5063943,10.717772,-1.5440645,10.522599,2.0738175,10.368197,1.2248801,9.420404,4.5870175,9.79614,1.6419147,9.2792845,3889.787116785757,1024.7184776080483,8057.209612489116,1277.82862294702,0.19104230662248453,0.11539418739104917,0.4474077,0.30494002,112.34714673913045,0.19137336,0.088422254,0.018572211406057915,0.06102627997480484
pop.00094.au,pop,-42.268806,52.3748,82.17975,29.91365,-2.246973,19.677118,19.916231,13.866059,13.862176,10.965287,0.8657801,13.30779,7.92098,10.476832,-0.7182553,9.502274,6.8773565,8.06405,-1.9071585,9.043772,-4.6875606,7.8336167,-3.164194,7.9021883,-2.94167,8.13754,3.602587,9.109435,-0.07809382,7.800751,1.5862792,5.9880238,0.8490444,9.079991,-1.2324398,11.505567,2.5389123,9.47196,0.78024215,7.4140654,2806.4327255297085,899.7542289646815,6102.421432825803,2024.3275756096361,0.12854835344910992,0.059247529474173964,0.33309838,0.29336104,123.49246592763681,0.19856702,0.083767265,-0.032672812159067234,0.16985602656156765
pop.00053.au,pop,-145.92575,66.44399,62.53524,40.59263,-23.114868,42.269184,-18.786009,23.348576,-14.782013,21.29299,-28.421488,15.662553,3.134416,15.156933,-24.940002,16.320074,-13.637032,15.789028,-4.6073895,14.362967,-24.383533,12.998921,-15.806172,10.856328,-17.455078,12.364531,-11.709296,22.264486,-8.264144,17.927258,-13.850937,19.672169,-9.910087,14.323579,-11.985029,14.199941,-5.035616,16.693573,-2.9024737,16.070908,2639.59187801044,1015.9311431155714,5626.524310510594,2051.660889486518,0.10700086469620743,0.09702451420472964,0.27737415,0.31794274,132.8580694089938,0.17211172,0.0963643,0.012683001857859576,0.16449056146697402
pop.00002.au,pop,-59.607124,53.949738,62.98234,24.429201,31.12206,13.461636,16.92889,12.489437,8.904489,10.174481,10.815333,10.595752,10.561759,9.109979,5.165959,7.474097,5.4082975,7.4210835,6.159945,8.087242,2.2780192,7.969396,4.254538,7.9551687,4.1256804,8.325391,5.7277184,9.35753,5.0610714,9.016303,5.671052,9.730974,1.4182494,8.485254,2.8187902,7.6202135,-1.4061422,6.6285534,-3.3785646,6.8014336,3213.5168358111127,1003.4363437078443,7423.94677507619,1566.6738093176045,0.11886851780185759,0.07595188838513403,0.4178902,0.3059232,120.00879813273994,0.215166,0.081188366,0.0014403101090888642,0.06477006761118796
pop.00013.au,pop,-161.65413,71.40296,85.566696,29.377388,53.275494,21.711931,32.21721,16.991083,27.195436,9.052095,11.300175,13.145986,7.8961716,9.876148,8.764694,10.523153,1.2665906,9.510312,13.211441,11.915367,0.06758925,10.536409,4.8267465,7.8793287,3.1036131,9.238663,2.346416,8.326174,3.6764767,6.964473,-2.8747072,9.007407,-2.6143231,6.7347026,-3.1520004,7.3195047,-1.1912892,7.464403,-1.4712896,6.734136,2150.085229874043,996.2708973524532,5224.360075676035,2593.472212269996,0.05165917364067337,0.039822200395237636,0.3561919,0.307729,143.5546875,0.17306519,0.05223403,0.03534837749283382,0.21854952032943611
pop.00042.au,pop,-37.071033,53.588818,68.84185,26.49189,10.511309,21.46387,23.959776,14.107497,15.370536,11.666364,3.547914,12.463334,11.677659,12.363826,2.9124515,9.904221,2.5459216,9.269107,4.7503414,10.873973,-1.5888675,7.221292,2.5664659,7.3515344,-1.0170678,7.023038,-1.6613679,7.145447,0.489345,7.101372,-2.8281736,7.8022494,-3.4125829,8.913037,-4.1028423,10.537975,-4.214856,9.2798815,1.100703,7.7008524,3002.6169823427717,891.3268703473714,6445.919355740857,1796.0608103285517,0.14374780802534828,0.07551759320047853,0.37972975,0.3016607,92.28515625,0.22344245,0.08487153,-0.014957953564133453,0.09964852095245012
pop.00085.au,pop,-81.77599,84.58857,78.609276,41.179413,-17.260933,33.06412,24.511774,17.362541,8.410555,16.45652,2.1446183,14.083282,5.520015,14.917072,1.9346675,10.743087,8.799277,11.123784,-0.12229679,9.958933,0.49543986,8.384026,4.6422744,8.022702,2.3893166,8.812605,5.5083528,9.5941725,0.6174307,9.127862,-1.808122,9.115398,2.3056872,9.556821,7.846462,12.2245865,5.0109644,10.188215,-3.3342338,9.620091,2516.4589514571976,1023.4275279600389,5087.48590333543,2122.5874366180988,0.1220960115131579,0.07674440495887433,0.44382367,0.30864692,119.0105007570336,0.19525385,0.06699531,0.03655941516940409,0.07952175623889544
pop.00076.au,pop,-38.288414,67.641426,47.802376,25.418604,20.052776,20.147268,23.848087,17.015038,19.795454,15.719467,13.665192,15.513419,14.684335,10.711772,4.5720963,9.948593,7.7137055,8.924387,8.956256,9.503461,5.421002,7.1009097,1.1439084,6.54972,1.0811883,7.322243,4.386656,7.4827847,4.5840898,6.9178123,2.5498772,7.0813003,-0.2459388,6.6923356,4.625784,6.9715242,3.010174,7.995398,-1.3092593,7.319158,3544.132839481264,967.8218370210268,7780.519618928986,1628.051192507132,0.14281924221168732,0.08201173828453147,0.47572708,0.28980651,145.72988443091538,0.24529977,0.09136549,-0.03710832978516332,0.058679129607409224
pop.00027.au,pop,-75.36613,68.25373,83.33488,28.665207,10.703896,18.70822,14.455102,14.7549,14.244521,12.042403,7.4102573,11.473533,5.279713,10.525826,-0.4001259,9.927788,5.7177563,10.001591,3.3618035,8.405489,-2.521102,7.871196,-4.227081,8.06623,-1.845522,7.7514544,-5.9079537,7.435421,-1.2724807,7.300182,-3.7835543,8.881157,-2.864618,9.05984,-0.9353354,8.564919,-1.1115845,8.687968,-2.7214704,9.829512,2682.713194799874,897.5989805971124,5957.288977088574,1974.211235090466,0.1019147276509288,0.05316040356220532,0.37741295,0.29269153,106.78645105113355,0.15791942,0.052353084,0.004930029559537989,0.0808347179534266
pop.00037.au,pop,4.804322,63.50406,64.50391,22.887861,-2.501273,27.23341,10.419498,15.820561,3.2420893,10.889756,7.8209686,12.687179,3.101567,9.616704,1.4055256,10.79154,6.7450037,9.782947,4.884832,9.526393,3.2736435,8.331893,1.747771,8.223913,3.3316636,7.3632894,2.350484,7.719134,1.4266739,6.4354706,-0.60548866,6.8787427,-2.1835034,6.233781,-1.6002753,7.2026663,-0.61104494,7.572181,-4.0513687,7.2879276,3236.3834897605984,794.3654006906496,6698.901159327835,1494.690606922149,0.16482477808146284,0.06194899609210134,0.45171207,0.291996,103.38783636635955,0.24089603,0.089719206,0.02261965172275688,0.057315364248104066
pop.00066.au,pop,-63.635056,60.386864,79.04566,28.750809,42.744022,25.028656,16.095537,14.535032,15.26836,13.182616,10.789148,12.191261,13.3115835,11.272436,3.685729,9.856543,4.9283266,10.003786,10.677057,10.398938,-0.01267207,8.929573,3.4803085,9.131061,3.4220939,8.617561,-2.4508333,8.774813,0.8506413,8.644634,-5.1205535,8.642914,-4.2999783,9.160946,-1.56403,8.062392,-0.059282333,9.522746,2.6619995,9.779681,2844.070407885239,953.5933561802592,6839.566975407556,1982.2355596722398,0.09974656237906347,0.0544008387510597,0.3541164,0.29178995,120.1731863726612,0.24325013,0.081651755,0.003981301546115939,0.13669483074332764
pop.00095.au,pop,-36.629185,56.409737,73.09261,29.320135,39.12304,22.160992,20.328524,18.22974,12.4935465,13.007394,2.151913,13.456992,11.737693,11.030019,-2.4324148,11.196685,6.6467233,11.270935,3.182791,8.7911825,-5.380571,9.318605,-3.149369,8.800878,-5.7750807,8.362703,-7.682376,8.092366,-7.6059957,7.076313,-6.8437,7.8302827,-6.105222,8.469802,-1.5670519,8.53661,2.1235185,8.708997,-1.5718983,9.01524,3046.1865869262933,985.8321226983294,7384.438680642898,1879.17640534721,0.10639353654702012,0.06583206529646518,0.36570504,0.29872844,104.29270268962848,0.3037274,0.09865164,0.02540448803885292,0.08453475412716774
pop.00052.au,pop,-39.98735,61.872047,35.58321,24.107876,8.9385,22.37133,15.082217,20.55559,15.206814,16.249353,10.572661,16.744396,21.824984,13.4291315,10.004446,12.522894,13.9735,10.191015,16.55746,10.014579,1.4647634,10.588908,3.2635627,8.729899,0.06211206,9.123518,0.9717617,7.910882,7.650401,9.34681,7.642752,10.731113,9.415578,12.766519,6.5875235,10.370311,1.1903111,10.275625,-0.6452359,10.924129,3662.9266594641513,1023.5826094860564,7776.786308170472,1609.5085929843567,0.15600737108165635,0.10369340003104864,0.52272147,0.29706365,107.95724193416979,0.32143492,0.14283347,-0.0004886283999639301,0.049075923467113564
pop.00003.au,pop,-125.906784,52.409386,126.61828,35.06127,-23.186909,22.519087,36.22425,19.202364,20.962921,11.929419,-1.1735234,13.4964075,16.486767,10.220704,-3.6612227,9.474612,6.520491,9.602686,9.33727,8.904088,-6.409656,8.387747,3.880195,7.7451186,-7.941657,7.616782,2.0486925,8.30034,-2.3359532,8.156259,-1.4812031,8.293432,4.7531238,8.821648,-3.5139244,8.477475,4.8868504,7.8309474,-3.1990805,7.807814,1837.191501891123,887.6745857172928,3671.0694682118324,1775.5591638684657,0.08535171367066563,0.04578306200615873,0.4100528,0.2848184,96.20288147780045,0.12935476,0.04256635,0.06133035882989362,0.14877488104872644
pop.00081.au,pop,-137.73312,62.24853,100.24318,25.013262,14.383044,20.00915,15.403811,18.49705,2.3205366,15.152515,-1.0818114,11.295534,-2.1069715,12.087756,-1.687085,8.916868,-5.311201,11.232407,-1.7847022,10.120052,1.7484086,9.705567,-6.1835394,8.525162,-3.0364275,8.540506,-9.783618,8.407382,-6.6642976,8.723416,-3.9666076,7.2831807,-10.177887,7.5251484,-2.9706817,9.082899,-3.5730906,6.789782,-0.6477028,6.690525,2246.9998668388666,710.3990174574898,5155.910489581318,1723.0171580527137,0.08601724252612229,0.04229347117417399,0.36985952,0.28965613,134.44363148219813,0.09215401,0.03490546,0.025118062189878058,0.11334132311303995
pop.00023.au,pop,-44.287426,68.361115,51.327915,31.342829,24.990486,27.001955,12.160306,19.640255,10.873074,13.328297,7.612087,14.081553,8.21147,11.536488,-0.77332944,10.156928,5.946744,11.064662,4.7616363,9.503278,-2.5084326,8.408412,1.3215402,8.445813,-1.946599,8.326799,-0.4463359,7.621767,0.23645823,7.602796,-2.0033765,8.037237,-1.9639544,8.272996,-1.0339814,8.276002,0.5159019,7.5007796,-0.38595906,9.594456,3759.8089732129138,1208.2547412632277,7855.135834401606,1795.8613441957934,0.17767428466041021,0.1002428898996104,0.3934257,0.30856258,103.359375,0.21067363,0.085181795,0.022599707593497977,0.08081115064540763
pop.00072.au,pop,9.675074,46.418457,88.82607,28.384329,-20.293682,17.13142,5.1013055,13.709639,-2.917802,10.917519,-0.18818103,9.436494,0.327482,9.818374,1.604321,7.884112,-2.2592056,7.231014,-0.94065106,8.026523,-6.2122498,7.281337,-2.9767892,6.8180957,-1.8151839,6.149151,-0.31959978,6.0870442,-1.3413134,5.847809,-1.6791986,5.8022175,-0.18654181,6.134826,1.7162682,5.5692573,-0.132488,5.67475,-3.901139,5.649307,2569.255822724336,634.3898918712331,5351.900971120356,1494.0979660617786,0.13165642233455882,0.0510417805484458,0.4807797,0.27550402,116.03882402080606,0.23445223,0.0697762,-0.009434190351866725,0.042750919471927676
pop.00046.au,pop,-72.17291,73.683945,81.3121,32.998318,16.72972,31.827282,8.680574,20.118612,14.163569,15.755048,-1.0486612,16.263868,12.839069,14.887231,-0.5343491,12.651491,3.1377692,11.466231,3.1529665,11.082728,-3.4740796,10.956468,-1.1388,8.696067,-0.68516254,8.522594,-3.9981558,9.416356,-1.08803,7.59006,1.7791659,7.947114,3.4944952,8.491397,5.9058094,10.53752,6.3410254,10.277656,2.4415288,8.999891,2838.0210737706198,1082.7256265402818,6485.7024485112715,2460.3495326464026,0.12218028915924922,0.08498150318899325,0.41501155,0.30038214,113.27580406492326,0.20336604,0.07455644,-0.0016339552177096124,0.06709077555640457
pop.00017.au,pop,-53.12336,30.279774,78.31344,20.370667,2.2469547,28.826517,18.838303,14.730526,3.864591,12.805835,2.5142796,11.493013,-3.799186,8.815631,6.814705,10.477858,-0.8102047,7.972328,8.754906,7.9420815,-4.800525,7.7423534,-2.151995,6.846826,1.2861207,6.176399,-1.7439154,5.870099,-1.9404187,5.9209642,-1.587665,6.0869656,2.6303961,5.6643686,2.429557,6.5045176,4.0242414,6.2893853,3.9174662,6.6868052,2789.1243751604316,611.1182482322173,6112.05470790804,1356.2584261058735,0.12622977336493807,0.05007069434081561,0.43529552,0.28742766,113.40937445865366,0.14308856,0.03269124,-0.047319445054738334,0.13418490590546614
pop.00007.au,pop,-224.45636,60.656532,107.30909,44.833965,-1.5683284,26.291225,13.870831,25.905403,8.123952,13.485314,-9.378748,14.625293,8.120475,11.979373,9.294033,11.525249,9.099869,10.709238,6.025224,13.358141,-6.6545024,13.346191,2.0728164,14.1580515,6.2020764,15.475924,8.332799,12.603118,7.5784698,13.999151,2.0672486,14.199949,4.5554514,14.62627,1.2218053,11.434802,-1.6407906,11.832816,-3.7163208,13.253888,1968.4064522146039,941.887881674113,4127.166710254209,2289.405875862171,0.08234492913119196,0.048819085661004534,0.25158858,0.3024541,127.72177648012428,0.08428382,0.048815344,-0.013149216546694351,0.13094984657933717
pop.00056.au,pop,-80.39633,77.747,35.962517,41.019833,20.407265,29.620415,26.376535,21.165636,17.379705,15.643431,4.580236,14.919621,13.489165,12.681516,3.6187563,11.730044,7.324075,11.731486,5.479913,11.86195,3.9538548,10.561568,5.3136964,10.238906,3.5346324,10.454734,0.5135293,9.306966,0.18830319,8.942605,-1.1251196,9.629033,3.5296657,8.131304,1.4410527,8.456985,0.4726653,7.9575405,-1.7977359,9.671494,3681.430351016257,1462.3320395313963,7566.579245930486,2155.747427551291,0.14562421391253869,0.13077850513533304,0.47309402,0.31254572,92.42222065480725,0.24994287,0.12312224,0.0016578232443466554,0.08362131032332751
pop.00062.au,pop,-6.92664,39.802803,68.88017,22.303665,3.7705872,22.687717,28.195871,15.503458,2.2932248,13.402774,13.625752,12.250886,1.0469884,10.655038,6.004647,12.142552,2.750496,12.395138,15.018393,14.032781,-8.786577,13.714873,0.7954419,12.929705,-7.2196684,12.966916,2.92449,14.363441,0.5617501,16.253271,11.366313,15.85527,11.479182,15.253915,14.17094,16.222725,-0.9239,14.914051,0.8095099,14.768343,2468.498529319245,558.4235712570307,5481.816852203464,1267.1368243186332,0.09820877878289473,0.03577884501724589,0.3296427,0.31376347,122.41592643430728,0.39785087,0.08474579,0.002294142662487625,0.08037764631222191
pop.00033.au,pop,-69.00193,95.91798,73.77,22.274757,-12.468982,22.896923,9.536623,15.88649,-0.045610458,13.197157,12.718271,15.288373,3.1650596,11.656855,-0.084657654,12.761019,2.5223582,10.502581,2.8746746,7.5661964,-1.6729782,8.522184,-3.025172,9.790413,1.614928,6.656518,1.0892638,6.5530744,0.9343864,5.46449,-0.4162729,5.958988,-1.2382096,5.8349447,-0.7576577,5.743133,-1.704667,6.0439057,-1.0437557,7.136956,2835.0593021892837,661.715013342013,5945.014051313371,1437.9361523976654,0.13706266326431887,0.049297444635297116,0.42290184,0.29216003,92.9161747453398,0.139912,0.050008796,0.031998712440492766,0.10497260195494065
